category	video_id	clip
Pets_Animals	G5lhd-fNZAw	6
Entertainment	lrhG-dAQYoM	10
Autos_Vehicles	ZYmDuFyEEEI	33
Travel_Events	cqwCb9vFm5I	69
Travel_Events	VVRAB4eoPbk	6
Sports	iK0KNBM1Bdw	237
Education	4stqRE5zzoQ	11
Gaming	rPh3AwwDJC0	22
Entertainment	86i5TqIpWhU	14
People_Blogs	SUXqX54685g	0
News_Politics	FebcJjVqMQE	65
People_Blogs	xtcjRxlclrg	1
Entertainment	yGxEqUh9d6k	47
Entertainment	mch5w7rm6GQ	5
Entertainment	FNl5fc7UDG0	23
Entertainment	BEbaqz9xKbI	18
People_Blogs	4JNCZryZd0U	140
Entertainment	mUPw0CUTVrU	1
Entertainment	2jfAd-B8WfM	340
Film_Animation	WqCH4DNQBUA	0
Gaming	crEHknO4pIg	2
Travel_Events	BJlbCGO4Ew0	50
Pets_Animals	xpq8DLHxdoc	65
Travel_Events	IvhE9nDjuys	8
People_Blogs	BuQ0icXN_Xg	39
Entertainment	xyNPc-aOels	47
People_Blogs	bGJrEJKy4NA	14
Gaming	IuJ5ZaI6b_o	1
People_Blogs	0HXSOmqXFVQ	37
Travel_Events	bmuckN3oIu8	104
People_Blogs	tgtgF7tQtOQ	68
People_Blogs	R-xtZO6kHmU	74
Science_Technology	8EtfihvMLyQ	3
People_Blogs	6ur1U1dXl7M	215
People_Blogs	wx5TojgnXkg	22
Film_Animation	YGzLT8q3OEg	5
Travel_Events	D9-i_F3xYhI	39
Sports	5pXzFcicSHE	41
Entertainment	IguQ50AeabI	29
Gaming	z4k1Xse_XgY	221
Travel_Events	qSCX-yhh-FU	35
Entertainment	aczRGIysZGQ	113
Travel_Events	pnP9pMqnBuM	10
Entertainment	ByXNG_XS9U8	24
Travel_Events	77hJtIrMJ7g	10
People_Blogs	flEsTVaLLh8	3
Gaming	yLWqnGsxYLI	15
Travel_Events	rVu9gkLZH34	5
Gaming	0xcgcHo9dWo	51
